Time	Spring_0:a_end	b_end	Position_Ball2	Speed_Ball2	Position_Ball2	Speed_Ball2	
0.0		0.1	1.4	0.0	0.0	1.5	0.0	
1.0		0.24999999999999992	1.25	0.1499999999999999	0.1499999999999999	1.35	-0.1499999999999999	
2.0		0.3999999999999998	1.1	0.2999999999999998	0.0	1.2000000000000002	0.0	
3.0		0.24999999999999997	1.25	0.14999999999999997	-0.14999999999999986	1.35	0.14999999999999986	
4.0		0.10000000000000012	1.4	1.1102230246251565E-16	0.0	1.5	0.0	
5.0		0.25	1.25	0.15000000000000002	0.1499999999999999	1.35	-0.1499999999999999	
6.0		0.3999999999999999	1.1	0.29999999999999993	0.0	1.2000000000000002	0.0	
7.0		0.25	1.25	0.15000000000000002	-0.1499999999999999	1.35	0.1499999999999999	
8.0		0.10000000000000012	1.4	1.1102230246251565E-16	0.0	1.5	0.0	
9.0		0.25	1.25	0.15000000000000002	0.1499999999999999	1.35	-0.1499999999999999	
10.0		0.3999999999999999	1.1	0.29999999999999993	0.0	1.2000000000000002	0.0	
